REPORTED_DATE,TRAVEL,CLOSE_CONTACT
2020-12-19,6,6
2020-12-22,2,2
2020-12-24,2,2
2020-12-27,3,3
2020-12-29,1,1
2021-01-04,2,2
2021-01-09,1,1
2021-01-13,1,1
2021-01-14,1,1
2021-01-16,1,1
2021-01-21,2,2
2021-01-26,1,1
2021-01-28,4,4
2021-02-03,2,2
2021-02-05,1,1
2021-02-06,2,2
2021-02-10,1,1
2021-02-11,1,1
2021-02-13,1,1
2021-02-15,1,1
2021-02-21,1,1
2021-02-22,2,2
2021-02-23,1,1
2021-02-26,1,1
2021-02-28,1,1
2021-03-03,1,1
2021-03-04,1,1
2021-03-06,1,1
2021-03-06,1,1
2021-03-11,1,1
2021-03-15,1,1
2021-03-18,1,1
2021-03-27,1,1
2021-03-29,1,1
2021-03-30,1,1
2021-03-31,2,2
2021-04-08,1,1
2021-04-09,2,2
2021-04-10,2,2
2021-04-11,1,1
2021-04-13,3,3
2021-04-14,2,2
2021-04-15,2,2
2021-04-16,2,2
2021-04-17,1,1
2021-04-17,2,2
2021-04-18,1,1
2021-04-19,1,1
2021-04-19,1,1
2021-04-20,2,2
2021-04-21,1,1
2021-04-22,1,1
2021-04-24,3,3
2021-04-25,4,4
2021-04-26,1,1
2021-04-27,1,1
2021-04-28,3,3
2021-04-29,5,5
2021-04-30,6,6
2021-05-01,20,20
2021-05-02,4,4
2021-05-03,2,2
2021-05-04,4,4
2021-05-04,2,2
2021-05-05,5,5
2021-05-06,1,1
2021-05-06,4,4
2021-05-07,7,7
2021-05-08,5,5
2021-05-08,1,1
2021-05-09,3,3
2021-05-10,6,6
2021-05-11,2,2
2021-05-11,8,8
2021-05-12,7,7
2021-05-12,1,1
2021-05-13,8,8
2021-05-13,2,2
2021-05-14,3,3
2021-05-15,9,9
2021-05-16,4,4
2021-05-16,1,1
2021-05-17,4,4
2021-05-17,3,3
2021-05-18,3,3
2021-05-18,5,5
2021-05-19,1,1
2021-05-20,4,4
2021-05-21,1,1
2021-05-22,3,3
2021-05-23,1,1
2021-05-23,1,1
2021-05-25,1,1
2021-05-26,1,1
2021-05-26,2,2
2021-05-27,2,2
2021-05-28,2,2
2021-05-29,1,1
2021-05-30,1,1
2021-05-30,1,1
2021-06-01,3,3
2021-06-02,1,1
2021-06-06,2,2
2021-06-09,1,1
2021-06-11,1,1
2021-06-14,1,1
2021-06-15,1,1
2021-06-28,1,1
2021-06-29,1,1
2021-07-01,1,1
2021-07-03,12,12
2021-07-04,1,1
2021-07-09,2,2
2021-07-11,5,5
2021-07-14,3,3
2021-07-15,23,23
2021-07-17,4,4
2021-07-29,2,2
2021-07-30,1,1
2021-08-01,1,1
2021-08-04,1,1
2021-08-06,2,2
2021-08-10,1,1
2021-08-12,3,3
2021-08-14,1,1
2021-08-15,1,1
2021-08-15,1,1
2021-08-16,1,1
2021-08-17,2,2
2021-08-17,1,1
2021-08-18,1,1
2021-08-19,1,1
2021-08-20,1,1
2021-08-20,1,1
2021-08-21,1,1
2021-08-24,1,1
2021-08-25,4,4
2021-08-25,1,1
2021-08-26,3,3
2021-08-27,1,1
2021-08-28,1,1
2021-08-30,4,4
2021-08-31,1,1
2021-08-31,2,2
2021-09-01,1,1
2021-09-01,1,1
2021-09-02,3,3
2021-09-02,1,1
2021-09-03,1,1
2021-09-03,1,1
2021-09-04,2,2
2021-09-05,1,1
2021-09-05,2,2
2021-09-06,2,2
2021-09-07,1,1
2021-09-07,2,2
2021-09-09,3,3
2021-09-11,3,3
2021-09-12,1,1
2021-09-14,1,1
2021-09-14,3,3
2021-09-15,2,2
2021-09-16,1,1
2021-09-17,2,2
2021-09-18,1,1
2021-09-18,1,1
2021-09-19,2,2
2021-09-20,1,1
2021-09-21,3,3
2021-09-22,1,1
2021-09-23,2,2
2021-09-24,2,2
2021-09-25,1,1
2021-09-25,1,1
2021-09-26,1,1
2021-09-26,3,3
2021-09-29,2,2
2021-09-30,2,2
2021-09-30,3,3
2021-10-01,3,3
2021-10-02,3,3
2021-10-03,1,1
2021-10-05,3,3
2021-10-05,1,1
2021-10-06,3,3
2021-10-07,3,3
2021-10-08,5,5
2021-10-09,2,2
2021-10-10,1,1
2021-10-12,2,2
2021-10-13,2,2
2021-10-14,1,1
2021-10-15,2,2
2021-10-17,1,1
2021-10-17,1,1
2021-10-21,1,1
2021-10-22,1,1
2021-10-24,1,1
2021-10-29,1,1
2021-10-31,1,1
2021-11-03,1,1
2021-11-04,1,1
2021-11-05,1,1
2021-11-07,3,3
2021-11-07,1,1
2021-11-08,1,1
2021-11-09,1,1
2021-11-10,2,2
2021-11-10,1,1
2021-11-11,1,1
2021-11-16,1,1
2021-11-22,3,3
2021-11-24,2,2
2021-11-25,1,1
2021-11-25,1,1
2021-11-26,1,1
2021-11-26,1,1
2021-11-27,1,1
2021-11-28,1,1
2021-11-28,2,2
2021-12-06,2,2
2021-12-08,1,1
2021-12-11,2,2
2021-12-11,1,1
2021-12-12,1,1
2021-12-13,2,2
2021-12-14,1,1
2021-12-15,5,5
2021-12-15,1,1
2021-12-16,2,2
2021-12-16,2,2
2021-12-17,6,6
2021-12-17,5,5
2021-12-18,4,4
2021-12-18,2,2
2021-12-19,12,12
2021-12-19,6,6
2021-12-20,5,5
2021-12-20,7,7
2021-12-21,10,10
2021-12-21,6,6
2021-12-22,16,16
2021-12-22,7,7
2021-12-23,9,9
2021-12-23,19,19
2021-12-24,2,2
2021-12-24,12,12
2021-12-25,6,6
2021-12-25,3,3
2021-12-26,2,2
2021-12-26,5,5
2021-12-27,1,1
2021-12-29,6,6
2021-12-29,4,4
2021-12-30,5,5
2021-12-30,4,4
2021-12-31,6,6
2021-12-31,8,8
2022-01-01,8,8
2022-01-01,4,4
2022-01-02,3,3
2022-01-03,2,2
2022-01-03,6,6
2022-01-04,2,2
2022-01-04,4,4
2022-01-05,2,2
2022-01-05,1,1
2022-01-06,6,6
2022-01-06,2,2
2022-01-07,3,3
2022-01-07,9,9
2022-01-08,2,2
2022-01-09,7,7
2022-01-09,2,2
2022-01-10,1,1
2022-01-11,3,3
2022-01-11,3,3
2022-01-12,5,5
2022-01-14,4,4
2022-03-14,1,1
2022-03-27,1,1
2022-04-09,1,1
